,accuracy,precision,recall,f1,roc_auc,training_time
LightGBM,0.9578333333333333,0.9614797864225781,0.9431350542461654,0.952219074598678,0.9925503799531119,0.6462514400482178
XGBoost,0.9575,0.9596958174904943,0.9442573887018332,0.9519140109372054,0.9929093110805031,0.6719560623168945
Stacking Ensemble,0.9551666666666667,0.9535849056603773,0.945379723157501,0.9494645876385497,0.9919052709688252,4.427226305007935
MLP,0.9488333333333333,0.9564043209876543,0.9274223718668163,0.9416904083570751,0.9897388652356425,10.12896990776062
Random Forest,0.9475,0.9462528387585163,0.9352787130564908,0.940733772342427,0.9893861186984789,0.8458988666534424
Bagging Classifier,0.9465,0.9421052631578948,0.9375233819678264,0.9398087380461279,0.9894059656107546,1.7481153011322021
Logistic Regression,0.8656666666666667,0.8438305709023941,0.8570894126449682,0.8504083147735709,0.9272553879306711,0.23235845565795898
