,accuracy,precision,recall,f1,roc_auc,training_time
XGBoost,0.9231666666666667,0.864167674324869,0.9453262786596119,0.9029269319856812,0.9606704775515065,0.644301176071167
LightGBM,0.9223333333333333,0.8618473895582329,0.9462081128747796,0.9020596889449348,0.9628335941974742,0.35286450386047363
Stacking Ensemble,0.9211666666666667,0.8658785161027314,0.9365079365079365,0.8998093624232154,0.960565328509237,4.808291673660278
Random Forest,0.9165,0.8569696969696969,0.9351851851851852,0.894370651486401,0.9571537737400546,0.8293988704681396
Bagging Classifier,0.9126666666666666,0.8493589743589743,0.9347442680776014,0.8900083963056256,0.9560365356296939,1.581796646118164
MLP,0.912,0.865546218487395,0.908289241622575,0.8864027538726333,0.9561719888622353,8.756741046905518
Logistic Regression,0.8451666666666666,0.7700685760387252,0.841710758377425,0.8042974510216979,0.894441349045672,0.1963062286376953
