,accuracy,precision,recall,f1,roc_auc,training_time
Stacking Ensemble,0.9558333333333333,0.9627216793340572,0.9425939050318922,0.9525514771709938,0.9920844671396505,3.5528197288513184
XGBoost,0.9551666666666667,0.9663865546218487,0.9372785258681786,0.9516100017988847,0.9927845985801571,2.5820271968841553
LightGBM,0.9538333333333333,0.963908129784907,0.9369241672572644,0.9502246181491465,0.9924562203205152,0.4262430667877197
Bagging Classifier,0.9461666666666667,0.9545289196071298,0.9298369950389794,0.9420211811164961,0.989029211281137,7.536994457244873
Random Forest,0.9445,0.9540313754104341,0.9266477675407513,0.9401402121157649,0.9898722346536407,0.7356746196746826
MLP,0.945,0.9642324888226528,0.9170800850460666,0.9400653832183073,0.9888755034947475,9.812589645385742
Logistic Regression,0.8645,0.8614609571788413,0.848334514528703,0.8548473486877344,0.9195684005782134,0.25035881996154785
