batch,accuracy,precision,recall,f1,roc_auc,n_samples,n_positive,n_negative
batch_1,0.9518333333333333,0.961720743711265,0.9347980155917789,0.9480682839173405,0.9927192574391893,6000,2822,3178
batch_2,0.9571666666666667,0.9610687022900763,0.9420127197904976,0.9514453051199697,0.9929615989797002,6000,2673,3327
batch_3,0.922,0.8623188405797102,0.9444444444444444,0.9015151515151515,0.9611157069512735,6000,2268,3732
batch_4,0.891405969075872,0.7573529411764706,0.9103535353535354,0.8268348623853211,0.9367045898908645,2781,792,1989
