batch,accuracy,precision,recall,f1,roc_auc,n_samples,n_positive,n_negative
batch_1,0.9775666666666667,0.9835888576981213,0.9684620836286322,0.9759668606934971,0.9982931466732439,30000,14110,15890
batch_2,0.9549,0.9561057108140948,0.9420127197904976,0.9490068970715713,0.9934125815480388,30000,13365,16635
batch_3,0.9241,0.8642868628396848,0.9480553840726695,0.9042351852630693,0.9631987949134214,30000,11339,18661
batch_4,0.8874424626006905,0.7326982892690513,0.9520080828492044,0.8280786553883335,0.9398590708101429,13904,3959,9945
