batch,accuracy,precision,recall,f1,roc_auc,n_samples,n_positive,n_negative,batches_used,total_samples
cumulative_batch_1_to_1,0.9569217739451802,0.9555279943302623,0.9458914320792774,0.9506852937287912,0.9932303127506701,25976,11403,14573,1,30000
cumulative_batch_1_to_2,0.9606174930705267,0.9673149648838466,0.9421204946066825,0.954551512728242,0.9942366348520087,25976,11403,14573,2,60000
cumulative_batch_1_to_3,0.9587311364336311,0.9645651587372965,0.9405419626414101,0.9524020957286209,0.9938868097970319,25976,11403,14573,3,90000
cumulative_batch_1_to_4,0.9601555281798583,0.9632707774798928,0.9452775585372271,0.9541893506838401,0.9940374212704068,25976,11403,14573,4,103904
