,accuracy,f1,roc_auc,training_time
XGBoost,0.9618493994456422,0.9561213194598185,0.9947305662260246,0.8365936279296875
Stacking Ensemble,0.9613489374807515,0.9556341140079541,0.9942935233594223,18.482021808624268
LightGBM,0.9610409608869726,0.9551974499734373,0.9942320312969052,0.6011757850646973
MLP,0.960232522328303,0.95390656374102,0.9942069825411949,18.482021808624268
Random Forest,0.9556513704958424,0.9492421572083186,0.9926067356365876,4.645578861236572
Bagging Classifier,0.9498768093624884,0.9424454071258067,0.9901680068337698,8.266233682632446
Logistic Regression,0.866107175854635,0.8485982935747867,0.9259284914801643,18.482021808624268
