,accuracy,precision,recall,f1,roc_auc,training_time
LightGBM,0.8924847177274362,0.7528205128205128,0.9267676767676768,0.8307866440294284,0.9368556733752813,0.3112795352935791
XGBoost,0.8921251348435815,0.7589473684210526,0.9103535353535354,0.8277841561423651,0.938003717415482,0.5360071659088135
Stacking Ensemble,0.8888888888888888,0.7492260061919505,0.9166666666666666,0.8245315161839863,0.9372286210521503,3.092798948287964
Random Forest,0.8863718087019058,0.7479166666666667,0.9065656565656566,0.819634703196347,0.9374266800737389,0.579268217086792
Bagging Classifier,0.883495145631068,0.7373225152129818,0.9179292929292929,0.8177727784026997,0.9337076775802267,0.9763493537902832
MLP,0.8716289104638619,0.7502876869965478,0.8232323232323232,0.7850692354003612,0.9283915068228793,2.8810653686523438
Logistic Regression,0.8360302049622438,0.6653543307086615,0.8535353535353535,0.7477876106194691,0.8932842756372168,0.11543798446655273
