,accuracy,f1,roc_auc,training_time
XGBoost,0.9618493994456422,0.9561213194598185,0.9947305662260246,1.2317168712615967
Stacking Ensemble,0.9613489374807515,0.9556341140079541,0.9942935233594223,20.84802508354187
LightGBM,0.9610409608869726,0.9551974499734373,0.9942320312969052,0.8777658939361572
MLP,0.960232522328303,0.95390656374102,0.9942069825411949,20.84802508354187
Random Forest,0.9556513704958424,0.9492421572083186,0.9926067356365876,4.5111000537872314
Bagging Classifier,0.9498768093624884,0.9424454071258067,0.9901680068337698,11.089942932128906
Logistic Regression,0.866107175854635,0.8485982935747867,0.9259284914801643,20.84802508354187
